Name,Player_Type,Latest_Team,Matches_Played,Total_Pts
Adarsh T,Raider,bengal warriors,18,17
Kamal Singh,Raider,telugu titans,10,17
Amit Kumar,All Rounder,telugu titans,11,17
Sanjay Kumar,All Rounder,patna pirates,8,16
S Mahalingam,All Rounder,telugu titans,11,16
Elangeshwaran R,Raider,telugu titans,5,16
Rakesh Gowda,Raider,telugu titans,5,16
M. Thivakaran,"Defender, right cover",tamil thalaivas,9,16
Mohit Sehrawat,"Defender, left corner",bengaluru bulls,10,16
Sumit Malik,Raider,gujarat fortunegiants,14,15
Isac Antony,Defender,telugu titans,9,15
Krushna Madane,Raider,telugu titans,13,15
Virender Wazir Singh,"Defender, left corner",bengal warriors,7,15
Sanket Chavan,All Rounder,tamil thalaivas,13,15
Mohammad Maghshoudulu,"Defender, right corner",patna pirates,18,15
Sagar Khatale,Raider,puneri paltan,12,14
Waleed Al Hasani,Defender,puneri paltan,6,14
Seong Ryeol Kim,"Defender, right cover",gujarat fortunegiants,15,14
Ajeet,Raider,tamil thalaivas,14,14
Anand,"Defender, right corner",tamil thalaivas,7,14
Vijay Kumar,"Defender, left cover",bengaluru bulls,21,14
C Manoj Kumar,"Defender, left cover",telugu titans,12,14
Harendra Kumar,All Rounder,u mumba,13,13
Amit Kumar,"Defender, right corner",puneri paltan,5,13
Ankit,Raider,gujarat fortunegiants,12,13
Kedar Lal,"Defender, left cover",bengal warriors,10,13
Deepak Dhull,"Defender, left cover",patna pirates,10,13
Jeeva Gopal,"Defender, left corner",haryana steelers,24,12
Santhosh B.S,"Defender, left corner",up yoddha,9,12
N. Renjith,Raider,u mumba,11,12
Sushil Gulia,All Rounder,jaipur pink panthers,5,12
Victor Onyango Obiero,Raider,tamil thalaivas,5,12
Parvesh,Raider,puneri paltan,6,12
Lalit Chaudhary,All Rounder,gujarat fortunegiants,7,12
Sachin Narwal,"Defender, right cover",jaipur pink panthers,9,11
Pavan T. R.,Raider,jaipur pink panthers,11,11
Banty,All Rounder,bengaluru bulls,9,11
Yatharth Deshwal,Raider,dabang delhi kc,6,11
Simon Kibura,"Defender, left corner",bengal warriors,9,11
Vijender Singh,"Defender, left cover",bengaluru bulls,8,11
G.S. Manikandan,All Rounder,dabang delhi kc,20,11
Balbir Singh,All Rounder,jaipur pink panthers,10,10
Sandeep,All Rounder,puneri paltan,5,10
Tapas Pal,All Rounder,dabang delhi kc,7,10
Ravinder Kumar,Raider,patna pirates,12,10
Shubham Ashok Palkar,Raider,gujarat fortunegiants,12,9
Anand Surendra Tomar,"Defender, left corner",haryana steelers,5,9
Deepak Kumar,"Defender, right corner",bengal warriors,7,9
Sagar,Raider,tamil thalaivas,9,9
Anil Kumar,Raider,tamil thalaivas,6,9
Bhanu Pratap Tomar,Defender,up yoddha,6,9
Ankit,Raider,bengaluru bulls,11,8
Sushant Sail,"Defender, left cover",puneri paltan,7,8
Saeid Ghaffari,"Defender, right cover",dabang delhi kc,9,8
Deepak Yadav,Raider,puneri paltan,6,8
Mohan Raman G,Raider,u mumba,4,8
Amit Kumar Tomar,All Rounder,dabang delhi kc,9,8
Anil Kashinath Patil,Raider,jaipur pink panthers,5,8
Ravi V.,"Defender, right cover",puneri paltan,2,8
Harvinder Singh,"Defender, right corner",puneri paltan,4,8
Gnanasekaran M,"Defender, left cover",dabang delhi kc,8,7
Sanket Sawant,Raider,puneri paltan,5,7
Ankit Beniwal,All Rounder,telugu titans,5,7
Mahesh Maruti Magdum,Raider,bengaluru bulls,4,7
Bhuvneshwar Gaur,Raider,haryana steelers,6,6
Ankush,Defender,up yoddha,2,6
Ajay,"Defender, right cover",bengaluru bulls,14,6
Anuj Kumar,"Defender, left corner",telugu titans,7,6
Chand Singh,Raider,haryana steelers,5,6
David Shilisia J Mosambayi,Raider,jaipur pink panthers,7,6
Rahul Choudhary,Raider,jaipur pink panthers,5,6
Vikash Kumar,"Defender, left cover",u mumba,6,6
Parveen M. Jangra,Raider,bengal warriors,6,6
Sinotharan Kanesharajah,"Defender, left corner",bengaluru bulls,3,6
Ehsan Zamani Fard,All Rounder,dabang delhi kc,8,6
Wajid Ali,Raider,telugu titans,4,5
Mandeep Kumar,Raider,patna pirates,7,5
Punit Kumar Teotia,"Defender, right corner",dabang delhi kc,4,5
Vikas Tomar,"Defender, left cover",puneri paltan,9,5
Varinder Singh,All Rounder,patna pirates,8,5
T. Prasad,All Rounder,telugu titans,9,5
Prateek,All Rounder,haryana steelers,6,5
Vikash,"Defender, right corner",bengal warriors,4,5
Jagdeesha K.K.,Raider,jaipur pink panthers,7,5
Vijay Malik,Raider,patna pirates,7,5
Ashish,All Rounder,patna pirates,7,5
Amit Kumar,Raider,patna pirates,3,5
Dharmender,"Defender, left cover",gujarat fortunegiants,4,5
Gurvinder Singh,"Defender, right cover",up yoddha,5,5
Sudhanshu Tyagi,Raider,haryana steelers,13,4
Purna Singh,"Defender, left cover",patna pirates,5,4
Elavarasan A,Raider,jaipur pink panthers,3,4
Harmanjit Singh,Raider,gujarat fortunegiants,3,4
Rohit,All Rounder,bengaluru bulls,2,4
E Subash,Raider,u mumba,4,4
Lokesh Kaushik,"Defender, left corner",jaipur pink panthers,6,4
Rajeev Kumar,Raider,dabang delhi kc,3,4
Gurchet Singh,Raider,bengaluru bulls,4,4
Sunil Hanumanthappa,"Defender, right cover",bengaluru bulls,5,4
Dovlet Boshimov,Raider,patna pirates,2,4
Parveen Kumar,"Defender, left cover",bengal warriors,8,3
Gulveer Singh,"Defender, right cover",up yoddha,4,3
Sanoj Kumar,Raider,up yoddha,2,3
